Song.name,Artist.name,Song_popularity,Artist_popularity,Duration,Bars_confidence,Bars_start,Beats_confidence,Beats_start,End_of_fade_in,Familiarity,Key,Key_confidence,Loudness,Mode,Mode_confidence,Start_of_fade_out,Tatums_confidence,Tatums_start,Tempo,Terms_freq,Time_signature,Time_signature_confidence,Genre
A Soldiers Intro,(hed) p.e.,0.705223,0.543226,186.3571,0.001,1.86228,0.959,0.61516,0.165,0.787878,5,0.752,-63.933358,-10.047,1,0.671,177.296,0.711,0.1977,95.866,1,4,country
Sublime Control,:Blacks On :Blondes,0.342908,0.281284,147.06893,0.284,0.39232,0,0.39232,2.061,0.34244,1,0.695,-6.854,1,0.46,144.399,0.845,0.20395,160.067,1,4,1,pop
Superconstellation,:Blacks On :Blondes,0.345802,0.320059,159.05914,0.976,0.08586,0.976,0.08586,3.796,0.632784,2,0.455,-8.383,1,0.292,147.847,0.263,0.08586,162.954,0.98657,1,0,rock
deine liebe,[kaleidoskop],0.651523,0.522278,204.25098,0.056,0.55324,1,0.1946,0.142,0.729149,7,0.414,-63.933358,-5.145,1,0.481,197.277,0.923,0.1946,168.459,0.947784,4,punk
M-Town 2 M-Town,089 Clique feat. Minnesota Snipe & Skinny Cueball,0.342908,0.268457,266.57914,0.001,1.52942,0.517,0.36226,0,0.404877,9,0.55,-19.468,1,0.307,260.278,0.461,0.36226,104.521,1,4,0.458,rock
Visions Of Death,089 Clique feat. Prophet,0.342908,0.675118,190.9024,0.383,1.41954,1,0.0934,0.218,0.782984,5,0.557,-118.24532,-4.531,1,0.524,190.902,0.618,0.0934,91.145,0.896629,4,rock
Die Art von Mann,1. Futurologischer Congress,0.342908,0.330295,181.26322,0.095,0.84109,0.976,0.40892,0,0.492682,0,0.3,-7.278,1,0.352,177.006,0.544,0.19391,140.979,0.957679,4,0,pop
La Excursion,1. Futurologischer Congress,0.255765,0.449493,279.84934,0.695,0.40584,0.695,0.40584,0.271,0.625762,9,0.565,-0.12714,-8.026,1,0.531,269.276,0,0.22561,182.085,0.927295,1,blues
Machinenfunk,1. Futurologischer Congress,0.504034,0.389536,206.57587,0.047,1.14085,0.929,0.13624,0.073,0.602556,4,0.76,-7.736,0,0.628,201.961,0.516,0.13624,119.947,0.906284,4,0.781,blues
Tokyo,1. Futurologischer Congress,0.342908,0.282286,185.67791,0.712,0.58716,0.712,0.58716,0.234,0.3628,0,0.04,-90.645,-16.844,0,0.123,178.765,0.594,0.30595,101.41,1,1,blues
Dawg Call (Acappella),12 Gauge,0.342908,0.386441,193.85424,0.055,0.57568,0.857,0.20881,0.343,0.579423,10,0.338,-90.59005,-7.049,1,0.36,178.573,0.935,0.20881,162.226,0.940028,5,blues
14 Botellas,2 Minutos,0.497706,0.356407,124.18567,0.007,1.32774,1,0.13958,0.229,0.584038,2,0.011,-7.109,1,0.343,120.094,0.479,0.13958,101.076,1,4,0.484,blues
2 Minutos,2 Minutos,0.342908,0.545731,281.33832,0.165,1.06519,0.623,0.59628,0.317,0.803105,10,0.965,-0.12714,-8.183,1,0.64,271.65,0.714,0.36005,127.844,1,4,rock
Cancion De Amor,2 Minutos,0.342908,0.477311,243.56526,0.411,0.80067,0.466,0.13975,0,0.834539,7,0.376,-5.683,1,0.403,243.565,0.272,0.13975,102.429,0.741984,4,0.591,rap
Como Caramelo De LimA3n,2 Minutos,0.342908,0.397594,325.66812,0.084,0.38684,0.125,0.38684,0,0.606885,11,0.496,-12.861,0,0.322,318.375,0.245,0.21469,176.18,1,4,0,blues
Rompan Todo,2 Minutos,0.342908,0.291265,207.04608,0.951,0.73074,0.951,0.73074,0.24,0.391741,0,0.705,-21.881,1,0.624,195.599,0.388,0.31644,69.538,1,1,0,classical
Tema De Adrian,2 Minutos,0.40032,0.269213,204.32934,0.082,1.07314,0.619,0.50648,0.183,0.62909,1,0.334,-8.11,1,0.364,200.609,1,0.21594,105.037,0.883214,4,0.649,hip-hop
Valentin Alsina,2 Minutos,0.40032,0.516234,219.11465,0.079,1.33084,0.547,0.83711,0,0.687478,9,0.397,-9.024,0,0.318,214.129,0.11,0.56043,101.241,1,5,1,country
Vos No Confiaste,2 Minutos,0.342908,0.384202,235.93751,0.046,1.41385,0.996,0.11718,0.27,0.481621,2,0.409,-6.139,1,0.408,230.162,0.756,0.11718,92.884,1,4,0.297,folk
I Never Did No Hitler,20/20,0.472121,0.383877,203.98975,0.368,0.78649,0.382,0.38868,0.161,0.60482,11,0.236,-123.2079,-11.976,0,0.384,182.921,0.732,0.19413,154.322,0.983629,4,blues
It Goes On,20/20,0.21508,0.421449,233.50812,0.041,1.1888,0,0.37093,0,0.556083,10,0,-63.933358,-5.588,0,0.243,219.051,0.11,0.09965,148.371,1,4,blues
So Many Reasons,20/20,0.342908,0.279483,51.12118,0.946,0.61384,0.946,0.61384,0,0.398219,0,0.518,-3.642,0,0.466,51.121,0.304,0.35636,120.112,1,1,0,rock
Hold On,22-20s,0.681755,0.464278,317.46567,0.616,0.71351,0,0.26113,0,0.593241,6,0.413,-6.806,0,0.453,303.09,0.228,0.26113,133.325,0.925814,4,0.982,blues
Michaelangelo,23rd Turnoff,0.40032,0.351345,151.53587,0.016,0.80322,0.093,0.21688,0,0.521712,7,0.497,-81.6558,-7.108,1,0.494,145.734,0.96,0.21688,101.492,1,4,blues
Relax,2-4 Grooves feat. Reki D.,0.21508,0.33275,198.5824,0.024,1.57071,0.527,0.89551,0.312,0.466331,0,0.706,-20.975,1,0.663,185.591,0,0.55015,94.804,1,4,0.5,folk
Get It Started,2Fresh,0.342908,0.302679,166.97424,0.075,0.40396,0.555,0.40396,0.16,0.303495,8,0.347,-24.399,1,0.379,162.104,0.253,0.2119,161.387,0.914124,7,0.396,classical
Feelin` Alone,2-Gether feat. Sarinah,0.342908,0.404897,177.00526,0.475,1.65354,0.521,0.54612,0,0.593496,10,0.571,-74.00712,-12.256,1,0.293,166.435,0.376,0.26997,105.85,0.859457,4,punk
Feelin` Alone,2-Gether feat. Sarinah,0.443291,0.663686,224.20853,0.178,1.46147,0.934,1.46147,0.822,0.737437,2,0.647,37.157357,-63.933358,-9.528,0,0.577,198.983,0,1.08383,77.977,0.999829,rock
Be Like That,3 Doors Down,0.40032,0.322882,119.27465,0.01,2.82705,0.955,2.15042,2.159,0.413166,2,0.307,-13.305,1,0.274,115.264,0.21,1.97749,178.936,1,4,0,blues
Better Life,3 Doors Down,0.724134,0.582346,280.00608,0.004,1.11707,0.447,0.09511,0,0.851351,9,0.501,-63.933358,-5.342,1,0.6,276.764,0.792,0.09511,117.574,1,4,pop
Duck And Run,3 Doors Down,0.342908,0.407344,281.70404,0.03,1.09853,0.661,0.53155,0.212,0.606193,0,0.412,-8.061,0,0.615,269.415,0.965,0.24762,105.837,0.844147,4,0.477,rock
Here Without You,3 Doors Down,0.553167,0.51717,217.10322,0.085,0.89759,0,0.48815,0,0.687294,2,0.56,-5.75,1,0.428,202.96,0.27,0.21474,146.683,0.998535,4,0,rock
It's Not Me,3 Doors Down,0.265861,0.404117,230.76526,0.02,0.24358,0.649,0.24358,0,0.598986,0,0.669,-5.418,1,0.526,225.181,1,0.03047,140.045,0.955948,4,0.441,pop
Sarah Yellin',3 Doors Down,0.270776,0.429354,127.68608,0.058,0.81745,0.778,0.39065,0.286,0.623154,6,0.732,-97.74298,-8.692,1,0.405,121.133,0.778,0.39065,148.452,1,4,blues
Who Are You,3 Doors Down,0.40032,0.345447,278.41261,0.3,0.27532,0.162,0.27532,10.292,0.480378,4,0.445,-10.882,0,0.503,267.233,0.128,0.27532,90.094,1,3,0.788,country
Is It Love,3 of Hearts,0.595754,0.504855,217.28608,0.043,2.25599,0.286,0.96325,0.571,0.704994,11,0.383,-63.933358,-4.35,0,0.438,203.976,0.236,0.63987,94.007,0.917001,4,rock
My Mind Is Gone,3 Steps Ahead,0.342908,0.326208,33.14893,0.022,0.48882,0.849,0.48882,0,0.491256,1,0.199,-8.521,1,0.515,33.149,0.397,0.31374,174.211,1,4,1,pop
Real Playaz,3 Way Funk,0.342908,0.289191,270.62812,0.133,1.38365,0.688,0.14742,0.101,0.063392,4,0.702,-12.325,0,0.622,248.947,0.546,0.14742,96.596,0.844678,3,0.759,blues
End Of The Beginning,30 Seconds To Mars,0.658203,0.401724,153.33832,0.381,0.50101,0.517,0.05306,0,0.651046,4,0.258,-5.92,1,0.319,141.56,1,0.05306,133.986,0.887288,4,0,pop
Hunter,30 Seconds To Mars,0.342908,0.391574,295.57506,0.085,0.59574,0.909,0.59574,0,0.490611,9,0.735,-12.611,1,0.732,274.21,0.618,0.28105,87.099,0.998537,4,0.458,pop
Night of the Hunter (Static Revenger Remix),30 Seconds To Mars,0.342908,0.366103,192.15628,0.138,1.11994,0,1.11994,0.754,0.47167,9,0.107,-17.985,1,0.362,177.743,0,1.11994,144.184,1,5,0.777,blues
The Mission,30 Seconds To Mars,0.342908,0.405597,259.05587,0.174,3.62999,0.67,0.95847,5.95,0.234262,2,0.759,-10.399,0,0.675,242.236,0.114,0.95847,90.627,1,5,0.474,pop
Year Zero,30 Seconds To Mars,0.342908,0.268923,424.85506,0,0,0,0,0.084,0.048292,8,0.059,-20.105,1,0.414,414.917,0.769,0.16172,123.197014,1,1,0,rock
Way Beyond,32 Leaves,0.510962,0.529166,159.4771,0.49,0.53363,0.49,0.53363,1.025,0.825192,7,0.585,-81.6558,-4.732,1,0.639,159.477,0.742,0.27629,112.421,0.999892,1,rock
CHOKECHAIN (Amended Album Version),3OH!3,0.342908,0.475834,431.72526,0.778,0.29778,0.778,0.29778,0.491,0.600092,11,0.793,-5.27,0,0.695,425.273,0.237,0.29778,130.84,1,1,0,rock
A.C.A.B. (Bumper Sessions),4 Skins,0.40032,0.29145,155.14077,0.482,0.1811,0.482,0.1811,0,0.359297,1,0.552,-10.631,1,0.503,147.586,0.595,0.04323,213.995,0.941513,1,0,classical
Bread Or Blood (Single),4 Skins,0.342908,0.255941,456.51546,0.014,1.42206,0.854,0.4845,0,0.644693,11,0.561,-11.009,0,0.545,434.405,1,0.24971,127.874,0.947436,4,0.384,hip-hop
