id,song,artist,songpop,artistpop,Duration,Genre
8574,Soul Deep,The Box Tops,0.187895,0.159717,232.202,rock
8084,Amor De Cabaret,Sonora Santanera,0.1904,0.31312,153.33832,blues
121,Something Girls,Adam Ant,0.190656,0.259463,200.25424,rock
3477,Face the Ashes,Gob,0.1913,0.300454,138.762,classical
4220,The Moon And I (Ordinary Day Album Version),Jeff And Sheri Easter,0.192248,0.40641,220.52526,rock
7205,Keepin It Real (Skit),Rated R,0.192264,0.315628,234.52689,folk
9407,Drop of Rain,Tweeterfriendly Music,0.192648,0.168202,224.02567,hip-hop
6993,Pink World,Planet P Project,0.192727,0.175956,281.75628,rap
1833,Insatiable (Instrumental Version),Clp,0.192856,0.327955,277.18485,folk
4257,Young Boy Blues,JennyAnyKind,0.192978,0.366906,75.93751,soundtrack
9682,The Urgency (LP Version),Wayne Watson,0.193264,0.405597,240.84853,rock
409,La Culpa,Andy Andy,0.193711,0.331637,290.7424,classical
1106,Auguri Cha Cha,Bob Azzam,0.193858,0.378498,239.98649,rock
5315,Tonight Will Be Alright,Lionel Richie,0.193928,0.369084,199.00036,pop
1097,Floating,Blue Rodeo,0.194214,0.405597,263.81016,blues
7331,High Tide,Richard Souther,0.194633,0.256149,196.64934,blues
2981,Sohna Nee Sohna Data,Faiz Ali Faiz,0.194735,0.233132,153.20771,rock
8493,Caught In A Dream,Tesla,0.194758,0.25366,152.0322,country
5261,Synthetic Dream,lextrical,0.196127,0.283563,86.09914,country
4374,Broken-Down Merry-Go-Round,Jimmy Wakely,0.197979,0.254356,176.90077,blues
312,Kassie Jones,Alice Stuart,0.198587,0.405597,182.20363,classical
2764,Setanta matins,Elena,0.198597,0.234569,159.45098,folk
8675,Setting Fire to Sleeping Giants,The Dillinger Escape Plan,0.198785,0.139247,249.41669,blues
8286,James (Hold The Ladder Steady),SUE THOMPSON,0.199238,0.266275,273.52771,pop
3068,Made Like This (Live),Five Bolt Main,0.199683,0.201308,318.79791,folk
1834,Superconfidential,Clp,0.199906,0.262656,226.5073,classical
9228,I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson,0.200736,0.405597,285.88363,blues
9766,Spanish Grease,Willie Bobo,0.201387,0.386631,232.61995,folk
3014,Crazy Mixed Up World,Faye Adams,0.202217,0.354296,235.49342,punk
8482,Do You Finally Need A Friend,Terry Callier,0.202283,0.244367,174.34077,rock
4558,The Emperor Falls,John Wesley,0.202832,0.191194,254.85016,rock
9072,Twist and Shout,The Shangri-Las,0.203009,0.362372,78.75873,pop
982,It Makes No Difference Now,Billie Jo Spears,0.203712,0.380495,179.64363,pop
